file,rows
Friday-02-03-2018_TrafficForML_CICFlowMeter.csv,1048575
Friday-16-02-2018_TrafficForML_CICFlowMeter.csv,1048574
Friday-23-02-2018_TrafficForML_CICFlowMeter.csv,1048575
Thuesday-20-02-2018_TrafficForML_CICFlowMeter.csv,7948748
Thursday-01-03-2018_TrafficForML_CICFlowMeter.csv,331100
Thursday-15-02-2018_TrafficForML_CICFlowMeter.csv,1048575
Thursday-22-02-2018_TrafficForML_CICFlowMeter.csv,1048575
Wednesday-14-02-2018_TrafficForML_CICFlowMeter.csv,1048575
Wednesday-21-02-2018_TrafficForML_CICFlowMeter.csv,1048575
Wednesday-28-02-2018_TrafficForML_CICFlowMeter.csv,613071
